Question,Type,Lookup,Function,Can be duplicated,Stand,Chapitre,Subchapitre,Paragraphe
La politesse ,3 choice Yes/No/Partial,,,,"La gamme ""yaourts""",,Le personnel,L'accueil
La gestuelle ,3 choice Yes/No/Partial,,,,"La gamme ""yaourts""",,Le personnel,L'accueil
L'information ,3 choice Yes/No/Partial,,,,"La gamme ""yaourts""",,Le personnel,La communication
Le conseil ,3 choice Yes/No/Partial,,,,"La gamme ""yaourts""",,Le personnel,La communication
Présence d'un affichage,3 choice Yes/No/Partial,,,,"La gamme ""boissons""",,Affichage,
Qualité de l'affichage,3 choice Yes/No/Partial,,,,"La gamme ""boissons""",,Affichage,
Lisibilité des informations,3 choice Yes/No/Partial,,,,"La gamme ""boissons""",,Affichage,
Précision des informations,3 choice Yes/No/Partial,,,,"La gamme ""boissons""",,Affichage,
"Information sur les ""signes"" de qualités des produits proposées (Label, Origine etc) ?",3 choice Yes/No/Partial,,,,"La gamme ""boissons""",,Affichage,
Qualité de la présentation,3 choice Yes/No/Partial,,,,"La gamme ""boissons""",,Présentation,
Uniformité de la vaisselle utilisée oui Faut-il,3 choice Yes/No/Partial,,,,"La gamme ""boissons""",,Présentation,
Accessibilité pour le réapprovisionnement,2 options - Facile ou Difficile,No,No,No,"La gamme ""boissons""",,Présentation,
Contrôles des DLC  JML ne concerne pas les,3 choice Yes/No/Partial,,,,"La gamme ""boissons""",,Contrôles des dates,
Contrôles des DDM ,3 choice Yes/No/Partial,,,,"La gamme ""boissons""",,Contrôles des dates,
OUVERTURE D'UN TABLEAU PERMETTANT DE RECENSER LES BOISSONS PRESENTES,3 choice Yes/No/Partial,,,,"La gamme ""boissons""",,,
Boisson 1,3 choice Yes/No/Partial,,,,"La gamme ""boissons""",,L'offre,
Boisson 2,3 choice Yes/No/Partial,,,,"La gamme ""boissons""",,L'offre,
Boisson 3,3 choice Yes/No/Partial,,,,"La gamme ""boissons""",,L'offre,
Boisson 4,3 choice Yes/No/Partial,,,,"La gamme ""boissons""",,L'offre,
Boisson 5,3 choice Yes/No/Partial,,,,"La gamme ""boissons""",,L'offre,
Boisson 6,3 choice Yes/No/Partial,,,,"La gamme ""boissons""",,L'offre,
Boisson 7,3 choice Yes/No/Partial,,,,"La gamme ""boissons""",,L'offre,
Boisson 8,3 choice Yes/No/Partial,,,,"La gamme ""boissons""",,L'offre,
Boisson 9,3 choice Yes/No/Partial,,,,"La gamme ""boissons""",,L'offre,
Boisson 10,3 choice Yes/No/Partial,,,,"La gamme ""boissons""",,L'offre,
Boisson 11,3 choice Yes/No/Partial,,,,"La gamme ""boissons""",,L'offre,
Boisson 12,3 choice Yes/No/Partial,,,,"La gamme ""boissons""",,L'offre,
Boisson 13,3 choice Yes/No/Partial,,,,"La gamme ""boissons""",,L'offre,
Boisson 14,3 choice Yes/No/Partial,,,,"La gamme ""boissons""",,L'offre,
Boisson 15,3 choice Yes/No/Partial,,,,"La gamme ""boissons""",,L'offre,
Boisson 16,3 choice Yes/No/Partial,,,,"La gamme ""boissons""",,L'offre,
Amplitude de l'offre,3 choice Yes/No/Partial,,,,"La gamme ""boissons""",,L'offre,
Etat des vitrines,3 choice Yes/No/Partial,,,,"La gamme ""boissons""",,Le matériel,
Propreté des vitrines,3 choice Yes/No/Partial,,,,"La gamme ""boissons""",,Le matériel,
Etat des îlots,3 choice Yes/No/Partial,,,,"La gamme ""boissons""",,Le matériel,
Propreté des îlots,3 choice Yes/No/Partial,,,,"La gamme ""boissons""",,Le matériel,
Etat des vitres,3 choice Yes/No/Partial,,,,"La gamme ""boissons""",,Le matériel,
Propreté des vitres,3 choice Yes/No/Partial,,,,"La gamme ""boissons""",,Le matériel,
Vérification de la température de la vitrine,3 choice Yes/No/Partial,,,,"La gamme ""boissons""",,Le matériel,
Contrôle de l'affichage de la vitrine,3 choice Yes/No/Partial,,,,"La gamme ""boissons""",,Le matériel,
"Respect des procédures d’hygiène (absence d’utilisation de torchon, port de coiffe, de bijoux etc.)",3 choice Yes/No/Partial,,,,"La gamme ""boissons""",,Le personnel,Les tenues de travail
Uniformité des tenues ,3 choice Yes/No/Partial,,,,"La gamme ""boissons""",,Le personnel,Les tenues de travail
Etat des tenues ,3 choice Yes/No/Partial,,,,"La gamme ""boissons""",,Le personnel,Les tenues de travail
Propreté des tenues ,3 choice Yes/No/Partial,,,,"La gamme ""boissons""",,Le personnel,Les tenues de travail
Le sourire ,3 choice Yes/No/Partial,,,,"La gamme ""boissons""",,Le personnel,L'accueil
L'amabilité ,3 choice Yes/No/Partial,,,,"La gamme ""boissons""",,Le personnel,L'accueil
La politesse ,3 choice Yes/No/Partial,,,,"La gamme ""boissons""",,Le personnel,L'accueil
La gestuelle ,3 choice Yes/No/Partial,,,,"La gamme ""boissons""",,Le personnel,L'accueil
L'information ,3 choice Yes/No/Partial,,,,"La gamme ""boissons""",,Le personnel,La communication
Le conseil ,3 choice Yes/No/Partial,,,,"La gamme ""boissons""",,Le personnel,La communication
Présence d'un affichage,3 choice Yes/No/Partial,,,,"La gamme ""Pain""",,Affichage,
Qualité de l'affichage,3 choice Yes/No/Partial,,,,"La gamme ""Pain""",,Affichage,
Lisibilité des informations,3 choice Yes/No/Partial,,,,"La gamme ""Pain""",,Affichage,
Précision des informations,3 choice Yes/No/Partial,,,,"La gamme ""Pain""",,Affichage,
,,,,,,,,
Indication du prix,3 choice Yes/No/Partial,,,,"La gamme ""Pain""",,Affichage,
Qualité de la présentation,3 choice Yes/No/Partial,,,,"La gamme ""Pain""",,Présentation,
Uniformité de la vaisselle utilisée oui Faut-il,3 choice Yes/No/Partial,,,,"La gamme ""Pain""",,Présentation,
Accessibilité pour le réapprovisionnement,2 options - Facile ou Difficile,No,No,No,"La gamme ""Pain""",,Présentation,
OUVERTURE D'UN TABLEAU PERMETTANT DE SAISIR LE NOM DES PAINS PROPOSES,Table,,,,"La gamme ""Pain""",,La qualité,
Pain 1,3 choice Yes/No/Partial,,,,"La gamme ""Pain""",,La qualité,
Pain 2,3 choice Yes/No/Partial,,,,"La gamme ""Pain""",,La qualité,
Pain 3,3 choice Yes/No/Partial,,,,"La gamme ""Pain""",,La qualité,
Pain 4,3 choice Yes/No/Partial,,,,"La gamme ""Pain""",,La qualité,
Pain 5,3 choice Yes/No/Partial,,,,"La gamme ""Pain""",,La qualité,
Pain 6,3 choice Yes/No/Partial,,,,"La gamme ""Pain""",,La qualité,
Etat des ustensiles,3 choice Yes/No/Partial,,,,"La gamme ""Pain""",,Les ustensiles de service,
Propreté des ustensiles,3 choice Yes/No/Partial,,,,"La gamme ""Pain""",,Les ustensiles de service,
Etat des panières,3 choice Yes/No/Partial,,,,"La gamme ""Pain""",,Les ustensiles de service,
Propreté des panières,3 choice Yes/No/Partial,,,,"La gamme ""Pain""",,Les ustensiles de service,
Adéquation des ustensiles de service,3 choice Yes/No/Partial,,,,"La gamme ""Pain""",,Les ustensiles de service,
Présence d'un affichage,3 choice Yes/No/Partial,,,,"La gamme ""condiments""",,Affichage,
Qualité de l'affichage,3 choice Yes/No/Partial,,,,"La gamme ""condiments""",,Affichage,
Lisibilité des informations,3 choice Yes/No/Partial,,,,"La gamme ""condiments""",,Affichage,
Précision des informations,3 choice Yes/No/Partial,,,,"La gamme ""condiments""",,Affichage,
"Information sur les ""signes"" de qualités des produits proposées (Label, Origine etc) ?",3 choice Yes/No/Partial,,,,"La gamme ""condiments""",,Affichage,
Qualité de la présentation,3 choice Yes/No/Partial,,,,"La gamme ""condiments""",,Présentation,
Accessibilité pour le réapprovisionnement,2 options - Facile ou Difficile,No,No,No,"La gamme ""condiments""",,Présentation,
OUVERTURE D'UN TABLEAU PERMETTANT DE RECENSER LES BOISSONS PRESENTES,Table,,,,"La gamme ""condiments""",,Présentation,
Condiment 1,3 choice Yes/No/Partial,,,,"La gamme ""condiments""",,L'offre,
Condiment 2,3 choice Yes/No/Partial,,,,"La gamme ""condiments""",,L'offre,
Condiment 3,3 choice Yes/No/Partial,,,,"La gamme ""condiments""",,L'offre,
Condiment 4,3 choice Yes/No/Partial,,,,"La gamme ""condiments""",,L'offre,
Condiment 5,3 choice Yes/No/Partial,,,,"La gamme ""condiments""",,L'offre,
Condiment 6,3 choice Yes/No/Partial,,,,"La gamme ""condiments""",,L'offre,
Condiment 7,3 choice Yes/No/Partial,,,,"La gamme ""condiments""",,L'offre,
Condiment 8,3 choice Yes/No/Partial,,,,"La gamme ""condiments""",,L'offre,
Condiment 9,3 choice Yes/No/Partial,,,,"La gamme ""condiments""",,L'offre,
Condiment 10,3 choice Yes/No/Partial,,,,"La gamme ""condiments""",,L'offre,
Condiment 11,3 choice Yes/No/Partial,,,,"La gamme ""condiments""",,L'offre,
Condiment 12,3 choice Yes/No/Partial,,,,"La gamme ""condiments""",,L'offre,
Condiment 13,3 choice Yes/No/Partial,,,,"La gamme ""condiments""",,L'offre,
Condiment 14,3 choice Yes/No/Partial,,,,"La gamme ""condiments""",,L'offre,
Condiment 15,3 choice Yes/No/Partial,,,,"La gamme ""condiments""",,L'offre,
Condiment 16,3 choice Yes/No/Partial,,,,"La gamme ""condiments""",,L'offre,
Amplitude de l'offre ok,3 choice Yes/No/Partial,,,,"La gamme ""condiments""",,L'offre,
Contrôles des DLC  JML Ne concerne pas les,3 choice Yes/No/Partial,,,,"La gamme ""condiments""",,Contrôles des dates,
Contrôles des DDM ,3 choice Yes/No/Partial,,,,"La gamme ""condiments""",,Contrôles des dates,
Etat des ustensiles,3 choice Yes/No/Partial,,,,"La gamme ""condiments""",,Les ustensiles de service,
Propreté des ustensiles,3 choice Yes/No/Partial,,,,"La gamme ""condiments""",,Les ustensiles de service,
Etat des saladiers,3 choice Yes/No/Partial,,,,"La gamme ""condiments""",,Les ustensiles de service,
Propreté des saladiers,3 choice Yes/No/Partial,,,,"La gamme ""condiments""",,Les ustensiles de service,
Etat des bols,3 choice Yes/No/Partial,,,,"La gamme ""condiments""",,Les ustensiles de service,
Propreté des bols,3 choice Yes/No/Partial,,,,"La gamme ""condiments""",,Les ustensiles de service,
Etat des flacons,3 choice Yes/No/Partial,,,,"La gamme ""condiments""",,Les ustensiles de service,
Propreté des flacons,3 choice Yes/No/Partial,,,,"La gamme ""condiments""",,Les ustensiles de service,
Adéquation des ustensiles de service,3 choice Yes/No/Partial,,,,"La gamme ""condiments""",,Les ustensiles de service,
Etat de la table,3 choice Yes/No/Partial,,,,"La gamme ""condiments""",,Le matériel,
Propreté de la table,3 choice Yes/No/Partial,,,,"La gamme ""condiments""",,Le matériel,
PV Praticité d'utilisation,3 choice Yes/No/Partial,,,,"La gamme ""condiments""",,Le matériel,
Etat des contenants,3 choice Yes/No/Partial,,,,"La gamme ""condiments""",,Le matériel,
Propreté des contenants,3 choice Yes/No/Partial,,,,"La gamme ""condiments""",,Le matériel,
"Respect des procédures d’hygiène (absence d’utilisation de torchon, port de coiffe, de bijoux etc.)",3 choice Yes/No/Partial,,,,"La gamme ""condiments""",,Le personnel,Les tenues de travail
Uniformité des tenues ,3 choice Yes/No/Partial,,,,"La gamme ""condiments""",,Le personnel,Les tenues de travail
Etat des tenues ,3 choice Yes/No/Partial,,,,"La gamme ""condiments""",,Le personnel,Les tenues de travail
Propreté des tenues ,3 choice Yes/No/Partial,,,,"La gamme ""condiments""",,Le personnel,Les tenues de travail
Le sourire ,3 choice Yes/No/Partial,,,,"La gamme ""condiments""",,Le personnel,L'accueil
L'amabilité ,3 choice Yes/No/Partial,,,,"La gamme ""condiments""",,Le personnel,L'accueil
La politesse ,3 choice Yes/No/Partial,,,,"La gamme ""condiments""",,Le personnel,L'accueil
La gestuelle ,3 choice Yes/No/Partial,,,,"La gamme ""condiments""",,Le personnel,L'accueil
L'information ,3 choice Yes/No/Partial,,,,"La gamme ""condiments""",,Le personnel,La communication
Le conseil ,3 choice Yes/No/Partial,,,,"La gamme ""condiments""",,Le personnel,La communication
Présence d'un affichage,3 choice Yes/No/Partial,,,,Zone de passage en caisse,,Affichage,
Qualité de l'affichage,3 choice Yes/No/Partial,,,,Zone de passage en caisse,,Affichage,
Lisibilité des informations,3 choice Yes/No/Partial,,,,Zone de passage en caisse,,Affichage,
Précision des informations,3 choice Yes/No/Partial,,,,Zone de passage en caisse,,Affichage,
N/A,,,,,,,Système de caisses,
JES,Tickbox,,,,Zone de passage en caisse,,Système de caisses,
PI Electronique,Tickbox,,,,Zone de passage en caisse,,Système de caisses,
FT Innovorder,Tickbox,,,,Zone de passage en caisse,,Système de caisses,
FT GIL,Tickbox,,,,Zone de passage en caisse,,Système de caisses,
Présence de caisses automatiques,Tickbox,,,,Zone de passage en caisse,,Système de caisses,
Autre 2,Tickbox - text field if ticked,,,,Zone de passage en caisse,,Système de caisses,
Autre 3,Tickbox - text field if ticked,,,,Zone de passage en caisse,,Système de caisses,
N/A,,,,,,,,
Espèces,Tickbox,,,,Zone de passage en caisse,,Moyens de paiement,
Chèques,Tickbox,,,,Zone de passage en caisse,,Moyens de paiement,
CB,Tickbox,,,,Zone de passage en caisse,,Moyens de paiement,
Application Smartphone (LB),Tickbox,,,,Zone de passage en caisse,,Moyens de paiement,
E-encaissement,Tickbox,,,,Zone de passage en caisse,,Moyens de paiement,
Autre 1,Tickbox - text field if ticked,,,,Zone de passage en caisse,,Moyens de paiement,
Autre 2,Tickbox - text field if ticked,,,,Zone de passage en caisse,,Moyens de paiement,
Réactivité pour réduire les temps d'attente,3 choice Yes/No/Partial,,,,Zone de passage en caisse,,Maîtrise des flux,
N/A,,,,,,,,
N/A,,,,,,,,
N/A,,,,,,,,
Etat des vitres,3 choice Yes/No/Partial,,,,Zone de passage en caisse,,Etat et propreté (général),
Propreté des vitres JML,3 choice Yes/No/Partial,,,,Zone de passage en caisse,,Etat et propreté (général),
Etat des murs,3 choice Yes/No/Partial,,,,Zone de passage en caisse,,Etat et propreté (général),
Propreté des murs JML,3 choice Yes/No/Partial,,,,Zone de passage en caisse,,Etat et propreté (général),
Etat des sols,3 choice Yes/No/Partial,,,,Zone de passage en caisse,,Etat et propreté (général),
Propreté des sols,3 choice Yes/No/Partial,,,,Zone de passage en caisse,,Etat et propreté (général),
Etat des plafonds,3 choice Yes/No/Partial,,,,Zone de passage en caisse,,Etat et propreté (général),
Propreté des plafonds,3 choice Yes/No/Partial,,,,Zone de passage en caisse,,Etat et propreté (général),
Etat du mobilier,3 choice Yes/No/Partial,,,,Zone de passage en caisse,,Etat et propreté (général),
Propreté du mobilier,3 choice Yes/No/Partial,,,,Zone de passage en caisse,,Etat et propreté (général),
Etat des caisses,3 choice Yes/No/Partial,,,,Zone de passage en caisse,,Etat et propreté (général),
Propreté des caisses,3 choice Yes/No/Partial,,,,Zone de passage en caisse,,Etat et propreté (général),
"Respect des procédures d’hygiène (absence d’utilisation de torchon, port de coiffe, de bijoux etc.)",3 choice Yes/No/Partial,,,,Zone de passage en caisse,,Le personnel,Les tenues de travail
Uniformité des tenues ,3 choice Yes/No/Partial,,,,Zone de passage en caisse,,Le personnel,Les tenues de travail
Etat des tenues ,3 choice Yes/No/Partial,,,,Zone de passage en caisse,,Le personnel,Les tenues de travail
Propreté des tenues ,3 choice Yes/No/Partial,,,,Zone de passage en caisse,,Le personnel,Les tenues de travail
Le sourire ,3 choice Yes/No/Partial,,,,Zone de passage en caisse,,Le personnel,L'accueil
L'amabilité ,3 choice Yes/No/Partial,,,,Zone de passage en caisse,,Le personnel,L'accueil
La politesse ,3 choice Yes/No/Partial,,,,Zone de passage en caisse,,Le personnel,L'accueil
Qualité du service ,3 choice Yes/No/Partial,,,,Zone de passage en caisse,,Le personnel,L'accueil
L'information ,3 choice Yes/No/Partial,,,,Zone de passage en caisse,,Le personnel,La communication
Le conseil ,3 choice Yes/No/Partial,,,,Zone de passage en caisse,,Le personnel,La communication
N/A,,,,,,,,
N/A,,,,,,,,
N/A,,,,,,,,
Etat des murs,3 choice Yes/No/Partial,,,,Salle à manger,,Les locaux,
Propreté des murs,3 choice Yes/No/Partial,,,,Salle à manger,,Les locaux,
Etat des sols,3 choice Yes/No/Partial,,,,Salle à manger,,Les locaux,
Propreté des sols,3 choice Yes/No/Partial,,,,Salle à manger,,Les locaux,
Etat des plafonds,3 choice Yes/No/Partial,,,,Salle à manger,,Les locaux,
Propreté des plafonds,3 choice Yes/No/Partial,,,,Salle à manger,,Les locaux,
Etat des chaises,3 choice Yes/No/Partial,,,,Salle à manger,,Les locaux,
Propreté des chaises,3 choice Yes/No/Partial,,,,Salle à manger,,Les locaux,
Etat des tables,3 choice Yes/No/Partial,,,,Salle à manger,,Les locaux,
Propreté des tables,3 choice Yes/No/Partial,,,,Salle à manger,,Les locaux,
Etat des fours micro-ondes,3 choice Yes/No/Partial,,,,Salle à manger,,Les locaux,
Propreté des fours micro-ondes,3 choice Yes/No/Partial,,,,Salle à manger,,Les locaux,
Etat des fontaines à eau,3 choice Yes/No/Partial,,,,Salle à manger,,Les locaux,
Propreté des fontaines à eau,3 choice Yes/No/Partial,,,,Salle à manger,,Les locaux,
Disponibilité des carafes,3 choice Yes/No/Partial,,,,Salle à manger,,Les locaux,
Etat des carafes,3 choice Yes/No/Partial,,,,Salle à manger,,Les locaux,
Propreté des carafes,3 choice Yes/No/Partial,,,,Salle à manger,,Les locaux,
Etat des tables à condiments,3 choice Yes/No/Partial,,,,Salle à manger,,Les locaux,
Propreté des tables à condiments,3 choice Yes/No/Partial,,,,Salle à manger,,Les locaux,
Nombre de repas servis le jour de l'audit,Integer,,,,Salle à manger,,Disponibilité des places assises,
"Disponibilité des places assises ≤ 1,8 rotations > 1,8 et ≤ 2,2 rotations > 2,2 rotations oui",3 choice Yes/No/Partial based on rules,,,,Salle à manger,,Disponibilité des places assises,
Température,3 choice Yes/No/Partial,,,,Salle à manger,,Environnement / décoration,
Luminosité,3 choice Yes/No/Partial,,,,Salle à manger,,Environnement / décoration,
Niveau sonore,3 choice Yes/No/Partial,,,,Salle à manger,,Environnement / décoration,
Fluidité de déplacement pour les convives,3 choice Yes/No/Partial,,,,Salle à manger,,Environnement / décoration,
INTEGRER UN TABLEAU PERMETTANT DE SAISIR LES TEMPS DE PASSAGE SUR PLUSIEURS HORAIRES,Table,,,,,,,
Temps de passage à xxHxx < 8 mn 8 à 10 mn > 10 mn oui,3 choice Yes/No/Partial based on rules,,,,Les temps de passage,,,
Temps de passage à xxHxx < 8 mn 8 à 10 mn > 10 mn oui,3 choice Yes/No/Partial based on rules,,,,Les temps de passage,,,
Temps de passage à xxHxx < 8 mn 8 à 10 mn > 10 mn oui,3 choice Yes/No/Partial based on rules,,,,Les temps de passage,,,
Temps de passage à xxHxx < 8 mn 8 à 10 mn > 10 mn oui,3 choice Yes/No/Partial based on rules,,,,Les temps de passage,,,
Temps de passage à xxHxx < 8 mn 8 à 10 mn > 10 mn oui,3 choice Yes/No/Partial based on rules,,,,Les temps de passage,,,
Temps de passage à xxHxx < 8 mn 8 à 10 mn > 10 mn oui,3 choice Yes/No/Partial based on rules,,,,Les temps de passage,,,
Temps de passage à xxHxx < 8 mn 8 à 10 mn > 10 mn oui,3 choice Yes/No/Partial based on rules,,,,Les temps de passage,,,
Temps de passage à xxHxx < 8 mn 8 à 10 mn > 10 mn oui,3 choice Yes/No/Partial based on rules,,,,Les temps de passage,,,
Temps de passage à xxHxx < 8 mn 8 à 10 mn > 10 mn oui,3 choice Yes/No/Partial based on rules,,,,Les temps de passage,,,
Accessibilité convoyeur / dépose plateaux,3 choice Yes/No/Partial,,,,Zone de sortie du self,,Le(s) convoyeur(s) / le(s) dépose(s) plateaux,
Etat du convoyeur / de la (des) dépose(s) plateaux,3 choice Yes/No/Partial,,,,Zone de sortie du self,,Le(s) convoyeur(s) / le(s) dépose(s) plateaux,
Propreté du convoyeur / de la (des) dépose(s) plateaux,3 choice Yes/No/Partial,,,,Zone de sortie du self,,Le(s) convoyeur(s) / le(s) dépose(s) plateaux,
Etat des vitres,3 choice Yes/No/Partial,,,,Zone de sortie du self,,Les locaux,
Propreté des vitres,3 choice Yes/No/Partial,,,,Zone de sortie du self,,Les locaux,
Etat des murs JML,3 choice Yes/No/Partial,,,,Zone de sortie du self,,Les locaux,
Propreté des murs,3 choice Yes/No/Partial,,,,Zone de sortie du self,,Les locaux,
Etat des sols,3 choice Yes/No/Partial,,,,Zone de sortie du self,,Les locaux,
Propreté des sols,3 choice Yes/No/Partial,,,,Zone de sortie du self,,Les locaux,
Etat des plafonds,3 choice Yes/No/Partial,,,,Zone de sortie du self,,Les locaux,
Propreté des plafonds,3 choice Yes/No/Partial,,,,Zone de sortie du self,,Les locaux,
Le tri des déchets est-il mis en place ?,2 options - Oui ou Non,,,,Zone de sortie du self,,Les déchets,
Des mesures anti-gaspillage sont-elles mises en œuvre ?,2 options - Oui ou Non,,,,Zone de sortie du self,,Les déchets,
Date de l'audit,Date,,,,Page d'accueil cafétéria,,,
Nom du restaurant,Text,,,,Page d'accueil cafétéria,,,
Gestionnaire,Text,,,,Page d'accueil cafétéria,,,
Personne(s) rencontrée(s),Text,,,,Page d'accueil cafétéria,,,
Horaires de service de la cafétéria Matin,Time (start & end),,,,Page d'accueil cafétéria,,,
Midi,Time (start & end),,,,Page d'accueil cafétéria,,,
Après-midi,Time (start & end),,,,Page d'accueil cafétéria,,,
Soir,Time (start & end),,,,Page d'accueil cafétéria,,,
Nuit,Time (start & end),,,,Page d'accueil cafétéria,,,
Date(s) de(s) l'audit(s) précédent(s) jj/mm/aa,Date,,,,Page d'accueil cafétéria,,,
Affichage des horaires d’ouverture du restaurant,3 choice Yes/No/Partial,,,,Zone d'accès à la cafétéria,,Les affichages / informations,
Informations sur les plats / menus,3 choice Yes/No/Partial,,,,Zone d'accès à la cafétéria,,Les affichages / informations,
Informations sur les créneaux horaires à éviter,3 choice Yes/No/Partial,,,,Zone d'accès à la cafétéria,,Les affichages / informations,
Etat des vitres,3 choice Yes/No/Partial,,,,Zone d'accès à la cafétéria,,Les locaux,
Propreté des vitres JML,3 choice Yes/No/Partial,,,,Zone d'accès à la cafétéria,,Les locaux,
Etat des murs,3 choice Yes/No/Partial,,,,Zone d'accès à la cafétéria,,Les locaux,
Propreté des murs JML,3 choice Yes/No/Partial,,,,Zone d'accès à la cafétéria,,Les locaux,
Etat des sols,3 choice Yes/No/Partial,,,,Zone d'accès à la cafétéria,,Les locaux,
Propreté des sols,3 choice Yes/No/Partial,,,,Zone d'accès à la cafétéria,,Les locaux,
Etat des plafonds,3 choice Yes/No/Partial,,,,Zone d'accès à la cafétéria,,Les locaux,
Propreté des plafonds,3 choice Yes/No/Partial,,,,Zone d'accès à la cafétéria,,Les locaux,
Affichage des horaires d’ouverture,3 choice Yes/No/Partial,,,,La cafétéria - généralités,Les affichages,,
Affichage des produits vendus,3 choice Yes/No/Partial,,,,La cafétéria - généralités,Les affichages,,
Informations sur les créneaux horaires à éviter,3 choice Yes/No/Partial,,,,La cafétéria - généralités,Les affichages,,
Qualité de l'affichage,3 choice Yes/No/Partial,,,,La cafétéria - généralités,Les affichages,,
Lisibilité des informations,3 choice Yes/No/Partial,,,,La cafétéria - généralités,Les affichages,,
Précision des informations,3 choice Yes/No/Partial,,,,La cafétéria - généralités,Les affichages,,
Information sur la présence d'allergènes,3 choice Yes/No/Partial,,,,La cafétéria - généralités,Les affichages,,
Affichage des prix,3 choice Yes/No/Partial,,,,La cafétéria - généralités,Les affichages,,
Les horaires de service sont-ils respectés ,3 choice Yes/No/Partial,,,,La cafétéria - généralités,Respect des horaires de service,,
INTEGRER UN TABLEAU PERMETTANT DE SAISIR LES TEMPS DE PASSAGE SUR PLUSIEURS HORAIRES,Table,,,,,,,
Temps d'attente à xxHxx < 8 mn ? 8 à 10 mn ? > 10 mn ? oui,3 choice Yes/No/Partial based on rules,,,,La cafétéria - généralités,Les temps d'attente,,
Temps d'attente à xxHxx < 8 mn ? 8 à 10 mn ? > 10 mn ? oui,3 choice Yes/No/Partial based on rules,,,,La cafétéria - généralités,Les temps d'attente,,
Temps d'attente à xxHxx < 8 mn ? 8 à 10 mn ? > 10 mn ? oui,3 choice Yes/No/Partial based on rules,,,,La cafétéria - généralités,Les temps d'attente,,
Temps d'attente à xxHxx < 8 mn ? 8 à 10 mn ? > 10 mn ? oui,3 choice Yes/No/Partial based on rules,,,,La cafétéria - généralités,Les temps d'attente,,
Temps d'attente à xxHxx < 8 mn ? 8 à 10 mn ? > 10 mn ? oui,3 choice Yes/No/Partial based on rules,,,,La cafétéria - généralités,Les temps d'attente,,
Réactivité pour réduire les temps d'attente,3 choice Yes/No/Partial,,,,La cafétéria - généralités,Les temps d'attente,,
,3 choice Yes/No/Partial,,,,La cafétéria - généralités,Maîtrise des flux,,
Etat des vitres,3 choice Yes/No/Partial,,,,La cafétéria - généralités,Les locaux,,
Propreté des vitres,3 choice Yes/No/Partial,,,,La cafétéria - généralités,Les locaux,,
Etat des murs oui JML,3 choice Yes/No/Partial,,,,La cafétéria - généralités,Les locaux,,
Propreté des murs,3 choice Yes/No/Partial,,,,La cafétéria - généralités,Les locaux,,
Etat des sols,3 choice Yes/No/Partial,,,,La cafétéria - généralités,Les locaux,,
Propreté des sols,3 choice Yes/No/Partial,,,,La cafétéria - généralités,Les locaux,,
Etat des plafonds,3 choice Yes/No/Partial,,,,La cafétéria - généralités,Les locaux,,
Propreté des plafonds,3 choice Yes/No/Partial,,,,La cafétéria - généralités,Les locaux,,
Etat du comptoir,3 choice Yes/No/Partial,,,,La cafétéria - généralités,Les locaux,,
Propreté du comptoir,3 choice Yes/No/Partial,,,,La cafétéria - généralités,Les locaux,,
Uniformité de la vaisselle utilisée,3 choice Yes/No/Partial,,,,La cafétéria - généralités,La vaisselle,,
Etat des petites tasses,3 choice Yes/No/Partial,,,,La cafétéria - généralités,La vaisselle,,
Propreté des petites tasses,3 choice Yes/No/Partial,,,,La cafétéria - généralités,La vaisselle,,
Etat des tasses intermédiaires,3 choice Yes/No/Partial,,,,La cafétéria - généralités,La vaisselle,,
Propreté des tasses intermédiaires,3 choice Yes/No/Partial,,,,La cafétéria - généralités,La vaisselle,,
Etat des grandes tasses,3 choice Yes/No/Partial,,,,La cafétéria - généralités,La vaisselle,,
Propreté des grandes tasses,3 choice Yes/No/Partial,,,,La cafétéria - généralités,La vaisselle,,
Etat des mugs,3 choice Yes/No/Partial,,,,La cafétéria - généralités,La vaisselle,,
Propreté des mugs,3 choice Yes/No/Partial,,,,La cafétéria - généralités,La vaisselle,,
Etat des verres à jus d'oranges,3 choice Yes/No/Partial,,,,La cafétéria - généralités,La vaisselle,,
Propreté des verres à jus d'oranges,3 choice Yes/No/Partial,,,,La cafétéria - généralités,La vaisselle,,
Etat des théières,3 choice Yes/No/Partial,,,,La cafétéria - généralités,La vaisselle,,
Propreté des théières,3 choice Yes/No/Partial,,,,La cafétéria - généralités,La vaisselle,,
Accessibilité pour le réapprovisionnement Facile Difficile LB Ok PV Déjà,3 choice Yes/No/Partial,,,,La cafétéria - généralités,La vaisselle,,
Disponibilité,3 choice Yes/No/Partial,,,,La cafétéria - généralités,Les plateaux,,
Etat,3 choice Yes/No/Partial,,,,La cafétéria - généralités,Les plateaux,,
Propreté,3 choice Yes/No/Partial,,,,La cafétéria - généralités,Les plateaux,,
Accessibilité pour le réapprovisionnement Facile Difficile LB Ok PV Déjà,3 choice Yes/No/Partial,,,,La cafétéria - généralités,Les plateaux,,
Disponibilité des fourchettes,3 choice Yes/No/Partial,,,,La cafétéria - généralités,Les couverts,,
Etat des fourchettes,3 choice Yes/No/Partial,,,,La cafétéria - généralités,Les couverts,,
Propreté fourchettes,3 choice Yes/No/Partial,,,,La cafétéria - généralités,Les couverts,,
Traces de calcaire sur les fourchettes,3 choice Yes/No/Partial,,,,La cafétéria - généralités,Les couverts,,
